taxlevel, rankID, taxon, daughterlevels, total
0,0,Root,4,1
1,0.1,Archaea,1,0.0004
2,0.1.11,Euryarchaeota,2,0.0004
3,0.1.11.3,Methanobacteria,1,0.000327
4,0.1.11.3.1,Methanobacteriales,1,0.000327
5,0.1.11.3.1.1,Methanobacteriaceae,2,0.000327
6,0.1.11.3.1.1.2,Methanobrevibacter,0,0.000055
6,0.1.11.3.1.1.5,unclassified,0,0.000273
3,0.1.11.9,unclassified,1,0.000073
4,0.1.11.9.1,unclassified,1,0.000073
5,0.1.11.9.1.1,unclassified,1,0.000073
6,0.1.11.9.1.1.1,unclassified,0,0.000073
1,0.2,Bacteria,9,0.183143
2,0.2.4,Actinobacteria,3,0.0012
3,0.2.4.2,Actinobacteria,4,0.000854
4,0.2.4.2.1,Actinomycetales,1,0.000055
5,0.2.4.2.1.1,Actinomycetaceae,2,0.000055
6,0.2.4.2.1.1.2,Actinomyces,0,0.000036
6,0.2.4.2.1.1.10,unclassified,0,0.000018
4,0.2.4.2.3,Bifidobacteriales,1,0.000436
5,0.2.4.2.3.1,Bifidobacteriaceae,1,0.000436
6,0.2.4.2.3.1.11,unclassified,0,0.000436
4,0.2.4.2.9,Micrococcales,2,0.000291
5,0.2.4.2.9.12,Micrococcaceae,2,0.000145
6,0.2.4.2.9.12.15,Rothia,0,0.000091
6,0.2.4.2.9.12.20,unclassified,0,0.000055
5,0.2.4.2.9.19,unclassified,1,0.000145
6,0.2.4.2.9.19.1,unclassified,0,0.000145
4,0.2.4.2.16,unclassified,1,0.000073
5,0.2.4.2.16.1,unclassified,1,0.000073
6,0.2.4.2.16.1.1,unclassified,0,0.000073
3,0.2.4.3,Coriobacteriia,1,0.000291
4,0.2.4.3.1,Coriobacteriales,1,0.000291
5,0.2.4.3.1.1,Coriobacteriaceae,3,0.000291
6,0.2.4.3.1.1.4,Collinsella,0,0.000018
6,0.2.4.3.1.1.19,unclassified,0,0.000236
6,0.2.4.3.1.1.20,uncultured,0,0.000036
3,0.2.4.12,unclassified,1,0.000055
4,0.2.4.12.1,unclassified,1,0.000055
5,0.2.4.12.1.1,unclassified,1,0.000055
6,0.2.4.12.1.1.1,unclassified,0,0.000055
2,0.2.12,Bacteroidetes,2,0.017722
3,0.2.12.6,Bacteroidia,2,0.014959
4,0.2.12.6.1,Bacteroidales,6,0.014705
5,0.2.12.6.1.2,Bacteroidaceae,1,0.001727
6,0.2.12.6.1.2.1,Bacteroides,0,0.001727
