taxlevel, rankID, taxon, daughterlevels, total
0,0,Root,3,1
1,0.2,Bacteria,5,0.1211
2,0.2.4,Actinobacteria,1,0.001229
3,0.2.4.2,Actinobacteria,1,0.001229
4,0.2.4.2.3,Bifidobacteriales,1,0.001229
5,0.2.4.2.3.1,Bifidobacteriaceae,3,0.001229
6,0.2.4.2.3.1.3,Bifidobacteriaceae_ge,0,0.000086
6,0.2.4.2.3.1.4,Bifidobacterium,0,0.00028
6,0.2.4.2.3.1.11,unclassified,0,0.000863
2,0.2.12,Bacteroidetes,2,0.002631
3,0.2.12.6,Bacteroidia,1,0.002394
4,0.2.12.6.1,Bacteroidales,5,0.002394
5,0.2.12.6.1.2,Bacteroidaceae,1,0.000992
6,0.2.12.6.1.2.1,Bacteroides,0,0.000992
5,0.2.12.6.1.20,Porphyromonadaceae,3,0.000129
6,0.2.12.6.1.20.1,Barnesiella,0,0.000043
6,0.2.12.6.1.20.13,Parabacteroides,0,0.000065
6,0.2.12.6.1.20.19,unclassified,0,0.000022
5,0.2.12.6.1.21,Prevotellaceae,2,0.000345
6,0.2.12.6.1.21.2,Paraprevotella,0,0.000173
6,0.2.12.6.1.21.16,uncultured,0,0.000173
5,0.2.12.6.1.23,Rikenellaceae,2,0.000108
6,0.2.12.6.1.23.2,Alistipes,0,0.000086
6,0.2.12.6.1.23.16,unclassified,0,0.000022
5,0.2.12.6.1.26,unclassified,1,0.000819
6,0.2.12.6.1.26.1,unclassified,0,0.000819
3,0.2.12.15,unclassified,1,0.000237
4,0.2.12.15.1,unclassified,1,0.000237
5,0.2.12.15.1.1,unclassified,1,0.000237
6,0.2.12.15.1.1.1,unclassified,0,0.000237
2,0.2.32,Firmicutes,5,0.069736
3,0.2.32.3,Bacilli,2,0.000151
4,0.2.32.3.2,Bacillales,1,0.000043
5,0.2.32.3.2.5,Family_XI,1,0.000043
6,0.2.32.3.2.5.1,Gemella,0,0.000043
4,0.2.32.3.5,Lactobacillales,2,0.000108
5,0.2.32.3.5.11,Streptococcaceae,2,0.000065
6,0.2.32.3.5.11.3,Streptococcus,0,0.000043
6,0.2.32.3.5.11.4,unclassified,0,0.000022
5,0.2.32.3.5.12,unclassified,1,0.000043
6,0.2.32.3.5.12.1,unclassified,0,0.000043
3,0.2.32.4,Clostridia,2,0.065617
4,0.2.32.4.4,Clostridiales,6,0.065358
5,0.2.32.4.4.3,Clostridiaceae_1,1,0.000065
6,0.2.32.4.4.3.32,unclassified,0,0.000065
