taxlevel, rankID, taxon, daughterlevels, total
0,0,Root,3,1
1,0.2,Bacteria,8,0.218016
2,0.2.4,Actinobacteria,2,0.001394
3,0.2.4.2,Actinobacteria,2,0.001334
4,0.2.4.2.3,Bifidobacteriales,1,0.001152
5,0.2.4.2.3.1,Bifidobacteriaceae,3,0.001152
6,0.2.4.2.3.1.3,Bifidobacteriaceae_ge,0,0.000091
6,0.2.4.2.3.1.4,Bifidobacterium,0,0.000182
6,0.2.4.2.3.1.11,unclassified,0,0.000879
4,0.2.4.2.16,unclassified,1,0.000182
5,0.2.4.2.16.1,unclassified,1,0.000182
6,0.2.4.2.16.1.1,unclassified,0,0.000182
3,0.2.4.12,unclassified,1,0.000061
4,0.2.4.12.1,unclassified,1,0.000061
5,0.2.4.12.1.1,unclassified,1,0.000061
6,0.2.4.12.1.1.1,unclassified,0,0.000061
2,0.2.12,Bacteroidetes,2,0.070864
3,0.2.12.6,Bacteroidia,2,0.052102
4,0.2.12.6.1,Bacteroidales,7,0.047889
5,0.2.12.6.1.2,Bacteroidaceae,1,0.009669
6,0.2.12.6.1.2.1,Bacteroides,0,0.009669
5,0.2.12.6.1.6,Bacteroidales_S24-7_group,1,0.001364
6,0.2.12.6.1.6.1,Bacteroidales_S24-7_group_ge,0,0.001364
5,0.2.12.6.1.8,Bacteroidales_fa,1,0.00003
6,0.2.12.6.1.8.1,Bacteroidales_ge,0,0.00003
5,0.2.12.6.1.20,Porphyromonadaceae,5,0.002607
6,0.2.12.6.1.20.1,Barnesiella,0,0.000424
6,0.2.12.6.1.20.2,Butyricimonas,0,0.000485
6,0.2.12.6.1.20.7,Coprobacter,0,0.000364
6,0.2.12.6.1.20.13,Parabacteroides,0,0.00094
6,0.2.12.6.1.20.19,unclassified,0,0.000394
5,0.2.12.6.1.21,Prevotellaceae,2,0.000061
6,0.2.12.6.1.21.3,Prevotella,0,0.00003
6,0.2.12.6.1.21.9,Prevotellaceae_Ga6A1_group,0,0.00003
5,0.2.12.6.1.23,Rikenellaceae,3,0.005395
6,0.2.12.6.1.23.2,Alistipes,0,0.003152
6,0.2.12.6.1.23.10,Rikenellaceae_ge,0,0.00003
6,0.2.12.6.1.23.16,unclassified,0,0.002213
5,0.2.12.6.1.26,unclassified,1,0.028764
6,0.2.12.6.1.26.1,unclassified,0,0.028764
4,0.2.12.6.3,unclassified,1,0.004213
5,0.2.12.6.3.1,unclassified,1,0.004213
6,0.2.12.6.3.1.1,unclassified,0,0.004213
3,0.2.12.15,unclassified,1,0.018762
4,0.2.12.15.1,unclassified,1,0.018762
5,0.2.12.15.1.1,unclassified,1,0.018762
6,0.2.12.15.1.1.1,unclassified,0,0.018762
2,0.2.32,Firmicutes,5,0.054315
3,0.2.32.3,Bacilli,2,0.000242
4,0.2.32.3.5,Lactobacillales,2,0.000182
5,0.2.32.3.5.11,Streptococcaceae,2,0.000091
6,0.2.32.3.5.11.3,Streptococcus,0,0.000061
6,0.2.32.3.5.11.4,unclassified,0,0.00003
5,0.2.32.3.5.12,unclassified,1,0.000091
6,0.2.32.3.5.12.1,unclassified,0,0.000091
4,0.2.32.3.9,unclassified,1,0.000061
5,0.2.32.3.9.1,unclassified,1,0.000061
6,0.2.32.3.9.1.1,unclassified,0,0.000061
3,0.2.32.4,Clostridia,2,0.045889
4,0.2.32.4.4,Clostridiales,8,0.044797
5,0.2.32.4.4.2,Christensenellaceae,2,0.001091
6,0.2.32.4.4.2.3,Christensenellaceae_R-7_group,0,0.00094
6,0.2.32.4.4.2.5,unclassified,0,0.000152
5,0.2.32.4.4.3,Clostridiaceae_1,2,0.000242
6,0.2.32.4.4.3.20,Clostridium_sensu_stricto_6,0,0.00003
6,0.2.32.4.4.3.32,unclassified,0,0.000212
5,0.2.32.4.4.9,Clostridiales_vadinBB60_group,1,0.00003
6,0.2.32.4.4.9.1,Clostridiales_vadinBB60_group_ge,0,0.00003
