taxlevel, rankID, taxon, daughterlevels, total
0,0,Root,3,1
1,0.2,Bacteria,7,0.316476
2,0.2.4,Actinobacteria,1,0.000323
3,0.2.4.2,Actinobacteria,1,0.000323
4,0.2.4.2.3,Bifidobacteriales,1,0.000323
5,0.2.4.2.3.1,Bifidobacteriaceae,1,0.000323
6,0.2.4.2.3.1.11,unclassified,0,0.000323
2,0.2.12,Bacteroidetes,2,0.104054
3,0.2.12.6,Bacteroidia,2,0.078445
4,0.2.12.6.1,Bacteroidales,5,0.076127
5,0.2.12.6.1.2,Bacteroidaceae,1,0.007278
6,0.2.12.6.1.2.1,Bacteroides,0,0.007278
5,0.2.12.6.1.20,Porphyromonadaceae,5,0.001941
6,0.2.12.6.1.20.1,Barnesiella,0,0.000216
6,0.2.12.6.1.20.2,Butyricimonas,0,0.000701
6,0.2.12.6.1.20.7,Coprobacter,0,0.000108
6,0.2.12.6.1.20.11,Odoribacter,0,0.000809
6,0.2.12.6.1.20.13,Parabacteroides,0,0.000108
5,0.2.12.6.1.21,Prevotellaceae,2,0.009597
6,0.2.12.6.1.21.2,Paraprevotella,0,0.000593
6,0.2.12.6.1.21.15,unclassified,0,0.009004
5,0.2.12.6.1.23,Rikenellaceae,3,0.024962
6,0.2.12.6.1.23.2,Alistipes,0,0.014179
6,0.2.12.6.1.23.10,Rikenellaceae_ge,0,0.000162
6,0.2.12.6.1.23.16,unclassified,0,0.010621
5,0.2.12.6.1.26,unclassified,1,0.032349
6,0.2.12.6.1.26.1,unclassified,0,0.032349
4,0.2.12.6.3,unclassified,1,0.002318
5,0.2.12.6.3.1,unclassified,1,0.002318
6,0.2.12.6.3.1.1,unclassified,0,0.002318
3,0.2.12.15,unclassified,1,0.025609
4,0.2.12.15.1,unclassified,1,0.025609
5,0.2.12.15.1.1,unclassified,1,0.025609
6,0.2.12.15.1.1.1,unclassified,0,0.025609
2,0.2.32,Firmicutes,5,0.074402
3,0.2.32.3,Bacilli,2,0.001617
4,0.2.32.3.5,Lactobacillales,4,0.00124
5,0.2.32.3.5.4,Lactobacillaceae,2,0.000108
6,0.2.32.3.5.4.1,Lactobacillus,0,0.000054
6,0.2.32.3.5.4.3,unclassified,0,0.000054
5,0.2.32.3.5.8,P5D1-392,1,0.000054
6,0.2.32.3.5.8.1,P5D1-392_ge,0,0.000054
5,0.2.32.3.5.11,Streptococcaceae,2,0.000216
6,0.2.32.3.5.11.3,Streptococcus,0,0.000108
6,0.2.32.3.5.11.4,unclassified,0,0.000108
5,0.2.32.3.5.12,unclassified,1,0.000863
6,0.2.32.3.5.12.1,unclassified,0,0.000863
4,0.2.32.3.9,unclassified,1,0.000377
5,0.2.32.3.9.1,unclassified,1,0.000377
6,0.2.32.3.9.1.1,unclassified,0,0.000377
3,0.2.32.4,Clostridia,2,0.061786
4,0.2.32.4.4,Clostridiales,6,0.059791
5,0.2.32.4.4.2,Christensenellaceae,1,0.000108
6,0.2.32.4.4.2.3,Christensenellaceae_R-7_group,0,0.000108
5,0.2.32.4.4.3,Clostridiaceae_1,1,0.001024
6,0.2.32.4.4.3.32,unclassified,0,0.001024
5,0.2.32.4.4.24,Lachnospiraceae,12,0.022967
6,0.2.32.4.4.24.5,Anaerostipes,0,0.000054
6,0.2.32.4.4.24.6,Blautia,0,0.000054
6,0.2.32.4.4.24.13,Coprococcus_3,0,0.000054
6,0.2.32.4.4.24.14,Dorea,0,0.000162
6,0.2.32.4.4.24.15,Eisenbergiella,0,0.000054
6,0.2.32.4.4.24.30,Lachnospira,0,0.000054
6,0.2.32.4.4.24.32,Lachnospiraceae_FCS020_group,0,0.000054
6,0.2.32.4.4.24.39,Lachnospiraceae_UCG-001,0,0.000108
6,0.2.32.4.4.24.41,Lachnospiraceae_UCG-003,0,0.000431
6,0.2.32.4.4.24.42,Lachnospiraceae_UCG-004,0,0.000162
6,0.2.32.4.4.24.60,Roseburia,0,0.000755
6,0.2.32.4.4.24.72,unclassified,0,0.021027
5,0.2.32.4.4.28,Peptostreptococcaceae,3,0.001402
6,0.2.32.4.4.28.2,Asaccharospora,0,0.000593
6,0.2.32.4.4.28.5,Paeniclostridium,0,0.000108
6,0.2.32.4.4.28.15,unclassified,0,0.000701
5,0.2.32.4.4.29,Ruminococcaceae,15,0.026526
6,0.2.32.4.4.29.4,Anaerofilum,0,0.00027
6,0.2.32.4.4.29.5,Anaerotruncus,0,0.000108
6,0.2.32.4.4.29.12,Faecalibacterium,0,0.005661
6,0.2.32.4.4.29.18,Oscillospira,0,0.000054
6,0.2.32.4.4.29.25,Ruminiclostridium_6,0,0.000054
6,0.2.32.4.4.29.29,Ruminococcaceae_UCG-002,0,0.000485
6,0.2.32.4.4.29.30,Ruminococcaceae_UCG-003,0,0.000323
6,0.2.32.4.4.29.32,Ruminococcaceae_UCG-005,0,0.000162
6,0.2.32.4.4.29.34,Ruminococcaceae_UCG-008,0,0.000216
6,0.2.32.4.4.29.36,Ruminococcaceae_UCG-010,0,0.00027
6,0.2.32.4.4.29.40,Ruminococcaceae_UCG-014,0,0.000054
6,0.2.32.4.4.29.43,Ruminococcus_1,0,0.000162
6,0.2.32.4.4.29.44,Ruminococcus_2,0,0.000054
