taxlevel, rankID, taxon, daughterlevels, total
0,0,Root,3,1
1,0.2,Bacteria,6,0.333656
2,0.2.4,Actinobacteria,2,0.000121
3,0.2.4.2,Actinobacteria,1,0.00006
4,0.2.4.2.16,unclassified,1,0.00006
5,0.2.4.2.16.1,unclassified,1,0.00006
6,0.2.4.2.16.1.1,unclassified,0,0.00006
3,0.2.4.3,Coriobacteriia,1,0.00006
4,0.2.4.3.1,Coriobacteriales,1,0.00006
5,0.2.4.3.1.1,Coriobacteriaceae,1,0.00006
6,0.2.4.3.1.1.19,unclassified,0,0.00006
2,0.2.12,Bacteroidetes,2,0.18525
3,0.2.12.6,Bacteroidia,2,0.163531
4,0.2.12.6.1,Bacteroidales,5,0.1622
5,0.2.12.6.1.2,Bacteroidaceae,1,0.002178
6,0.2.12.6.1.2.1,Bacteroides,0,0.002178
5,0.2.12.6.1.20,Porphyromonadaceae,4,0.001452
6,0.2.12.6.1.20.2,Butyricimonas,0,0.000121
6,0.2.12.6.1.20.11,Odoribacter,0,0.00006
6,0.2.12.6.1.20.13,Parabacteroides,0,0.001028
6,0.2.12.6.1.20.19,unclassified,0,0.000242
5,0.2.12.6.1.21,Prevotellaceae,4,0.132252
6,0.2.12.6.1.21.2,Paraprevotella,0,0.000726
6,0.2.12.6.1.21.5,Prevotella_2,0,0.001573
6,0.2.12.6.1.21.8,Prevotella_9,0,0.107629
6,0.2.12.6.1.21.15,unclassified,0,0.022324
5,0.2.12.6.1.23,Rikenellaceae,3,0.003327
6,0.2.12.6.1.23.2,Alistipes,0,0.002057
6,0.2.12.6.1.23.10,Rikenellaceae_ge,0,0.00006
6,0.2.12.6.1.23.16,unclassified,0,0.00121
5,0.2.12.6.1.26,unclassified,1,0.02299
6,0.2.12.6.1.26.1,unclassified,0,0.02299
4,0.2.12.6.3,unclassified,1,0.001331
5,0.2.12.6.3.1,unclassified,1,0.001331
6,0.2.12.6.3.1.1,unclassified,0,0.001331
3,0.2.12.15,unclassified,1,0.021719
4,0.2.12.15.1,unclassified,1,0.021719
5,0.2.12.15.1.1,unclassified,1,0.021719
6,0.2.12.15.1.1.1,unclassified,0,0.021719
2,0.2.32,Firmicutes,4,0.044588
3,0.2.32.4,Clostridia,2,0.03878
4,0.2.32.4.4,Clostridiales,7,0.037994
5,0.2.32.4.4.2,Christensenellaceae,1,0.000181
6,0.2.32.4.4.2.3,Christensenellaceae_R-7_group,0,0.000181
5,0.2.32.4.4.3,Clostridiaceae_1,1,0.00006
6,0.2.32.4.4.3.32,unclassified,0,0.00006
5,0.2.32.4.4.14,Family_XIII,2,0.000181
6,0.2.32.4.4.14.2,Family_XIII_AD3011_group,0,0.000121
6,0.2.32.4.4.14.7,unclassified,0,0.00006
5,0.2.32.4.4.24,Lachnospiraceae,13,0.022082
6,0.2.32.4.4.24.6,Blautia,0,0.002359
6,0.2.32.4.4.24.12,Coprococcus_2,0,0.001028
6,0.2.32.4.4.24.13,Coprococcus_3,0,0.00006
6,0.2.32.4.4.24.14,Dorea,0,0.000302
6,0.2.32.4.4.24.17,Fusicatenibacter,0,0.00006
6,0.2.32.4.4.24.25,Lachnoclostridium,0,0.000242
6,0.2.32.4.4.24.30,Lachnospira,0,0.00006
6,0.2.32.4.4.24.32,Lachnospiraceae_FCS020_group,0,0.00006
6,0.2.32.4.4.24.35,Lachnospiraceae_ND3007_group,0,0.000484
6,0.2.32.4.4.24.42,Lachnospiraceae_UCG-004,0,0.00006
6,0.2.32.4.4.24.49,Lachnospiraceae_ge,0,0.000302
6,0.2.32.4.4.24.60,Roseburia,0,0.00006
6,0.2.32.4.4.24.72,unclassified,0,0.017
5,0.2.32.4.4.28,Peptostreptococcaceae,1,0.000181
6,0.2.32.4.4.28.2,Asaccharospora,0,0.000181
5,0.2.32.4.4.29,Ruminococcaceae,9,0.010406
6,0.2.32.4.4.29.4,Anaerofilum,0,0.000121
6,0.2.32.4.4.29.6,Butyricicoccus,0,0.00006
6,0.2.32.4.4.29.12,Faecalibacterium,0,0.00121
6,0.2.32.4.4.29.16,Intestinimonas,0,0.00006
6,0.2.32.4.4.29.18,Oscillospira,0,0.000121
6,0.2.32.4.4.29.29,Ruminococcaceae_UCG-002,0,0.000726
6,0.2.32.4.4.29.30,Ruminococcaceae_UCG-003,0,0.000847
6,0.2.32.4.4.29.47,Subdoligranulum,0,0.001452
6,0.2.32.4.4.29.48,unclassified,0,0.005808
5,0.2.32.4.4.35,unclassified,1,0.0049
6,0.2.32.4.4.35.1,unclassified,0,0.0049
4,0.2.32.4.14,unclassified,1,0.000786
5,0.2.32.4.14.1,unclassified,1,0.000786
6,0.2.32.4.14.1.1,unclassified,0,0.000786
3,0.2.32.5,Erysipelotrichia,1,0.000726
4,0.2.32.5.1,Erysipelotrichales,1,0.000726
5,0.2.32.5.1.1,Erysipelotrichaceae,3,0.000726
6,0.2.32.5.1.1.6,Catenibacterium,0,0.000423
6,0.2.32.5.1.1.24,Holdemanella,0,0.000242
6,0.2.32.5.1.1.30,unclassified,0,0.00006
3,0.2.32.7,Negativicutes,1,0.000968
4,0.2.32.7.1,Selenomonadales,2,0.000968
5,0.2.32.7.1.1,Acidaminococcaceae,1,0.000121
6,0.2.32.7.1.1.1,Acidaminococcus,0,0.000121
5,0.2.32.7.1.2,Veillonellaceae,3,0.000847
6,0.2.32.7.1.2.12,Dialister,0,0.000181
6,0.2.32.7.1.2.13,Megamonas,0,0.000181
6,0.2.32.7.1.2.32,unclassified,0,0.000484
3,0.2.32.8,unclassified,1,0.004114
4,0.2.32.8.1,unclassified,1,0.004114
5,0.2.32.8.1.1,unclassified,1,0.004114
6,0.2.32.8.1.1.1,unclassified,0,0.004114
2,0.2.43,Lentisphaerae,1,0.000121
3,0.2.43.1,Lentisphaeria,1,0.000121
4,0.2.43.1.2,Victivallales,1,0.000121
5,0.2.43.1.2.5,Victivallaceae,1,0.000121
6,0.2.43.1.2.5.2,Victivallis,0,0.000121
2,0.2.55,Proteobacteria,4,0.00248
3,0.2.55.6,Betaproteobacteria,2,0.000907
4,0.2.55.6.6,Burkholderiales,2,0.000181
5,0.2.55.6.6.1,Alcaligenaceae,1,0.000121
6,0.2.55.6.6.1.26,unclassified,0,0.000121
5,0.2.55.6.6.9,unclassified,1,0.00006
6,0.2.55.6.6.9.1,unclassified,0,0.00006
4,0.2.55.6.20,unclassified,1,0.000726
5,0.2.55.6.20.1,unclassified,1,0.000726
6,0.2.55.6.20.1.1,unclassified,0,0.000726
3,0.2.55.7,Deltaproteobacteria,1,0.000181
4,0.2.55.7.9,Desulfovibrionales,1,0.000181
5,0.2.55.7.9.4,Desulfovibrionaceae,2,0.000181
6,0.2.55.7.9.4.1,Bilophila,0,0.000121
6,0.2.55.7.9.4.7,unclassified,0,0.00006
3,0.2.55.11,Gammaproteobacteria,1,0.000181
4,0.2.55.11.20,Enterobacteriales,1,0.000181
5,0.2.55.11.20.1,Enterobacteriaceae,2,0.000181
6,0.2.55.11.20.1.31,Escherichia-Shigella,0,0.00006
6,0.2.55.11.20.1.76,unclassified,0,0.000121
3,0.2.55.21,unclassified,1,0.00121
4,0.2.55.21.1,unclassified,1,0.00121
5,0.2.55.21.1.1,unclassified,1,0.00121
6,0.2.55.21.1.1.1,unclassified,0,0.00121
2,0.2.75,unclassified,1,0.101095
3,0.2.75.1,unclassified,1,0.101095
4,0.2.75.1.1,unclassified,1,0.101095
5,0.2.75.1.1.1,unclassified,1,0.101095
6,0.2.75.1.1.1.1,unclassified,0,0.101095
1,0.3,Eukaryota,1,0.000484
2,0.3.103,unclassified,1,0.000484
3,0.3.103.1,unclassified,1,0.000484
4,0.3.103.1.1,unclassified,1,0.000484
5,0.3.103.1.1.1,unclassified,1,0.000484
6,0.3.103.1.1.1.1,unclassified,0,0.000484
1,0.5,unknown,1,0.66586
2,0.5.1,unclassified,1,0.66586
3,0.5.1.1,unclassified,1,0.66586
4,0.5.1.1.1,unclassified,1,0.66586
5,0.5.1.1.1.1,unclassified,1,0.66586
6,0.5.1.1.1.1.1,unclassified,0,0.66586
